[2020-04-14T20:00:52.048-0700][gc,phases    ] GC(6)   Evacuate Collection Set: 1.8ms
[2020-04-14T20:00:52.048-0700][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.2ms
[2020-04-14T20:00:52.048-0700][gc,phases    ] GC(6)   Other: 0.1ms
[2020-04-14T20:00:52.048-0700][gc,heap      ] GC(6) Eden regions: 24->0(24)
[2020-04-14T20:00:52.048-0700][gc,heap      ] GC(6) Survivor regions: 1->1(4)
[2020-04-14T20:00:52.048-0700][gc,heap      ] GC(6) Old regions: 6->6
[2020-04-14T20:00:52.048-0700][gc,heap      ] GC(6) Humongous regions: 1->1
[2020-04-14T20:00:52.048-0700][gc,metaspace ] GC(6) Metaspace: 6830K->6830K(1056768K)
[2020-04-14T20:00:52.048-0700][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 30M->6M(512M) 2.211ms
[2020-04-14T20:00:52.048-0700][gc,cpu       ] GC(6) User=0.01s Sys=0.00s Real=0.00s
[2020-04-14T20:00:52.084-0700][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T20:00:52.084-0700][gc,task      ] GC(7) Using 4 workers of 4 for evacuation
[2020-04-14T20:00:52.088-0700][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T20:00:52.088-0700][gc,phases    ] GC(7)   Evacuate Collection Set: 4.2ms
[2020-04-14T20:00:52.088-0700][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.2ms
[2020-04-14T20:00:52.088-0700][gc,phases    ] GC(7)   Other: 0.1ms
[2020-04-14T20:00:52.088-0700][gc,heap      ] GC(7) Eden regions: 24->0(35)
[2020-04-14T20:00:52.088-0700][gc,heap      ] GC(7) Survivor regions: 1->1(4)
[2020-04-14T20:00:52.088-0700][gc,heap      ] GC(7) Old regions: 6->6
[2020-04-14T20:00:52.088-0700][gc,heap      ] GC(7) Humongous regions: 1->1
[2020-04-14T20:00:52.088-0700][gc,metaspace ] GC(7) Metaspace: 6830K->6830K(1056768K)
[2020-04-14T20:00:52.088-0700][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 30M->6M(512M) 4.567ms
[2020-04-14T20:00:52.088-0700][gc,cpu       ] GC(7) User=0.01s Sys=0.00s Real=0.00s
[2020-04-14T20:00:52.140-0700][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T20:00:52.140-0700][gc,task      ] GC(8) Using 4 workers of 4 for evacuation
[2020-04-14T20:00:52.142-0700][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T20:00:52.142-0700][gc,phases    ] GC(8)   Evacuate Collection Set: 1.8ms
[2020-04-14T20:00:52.142-0700][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.2ms
[2020-04-14T20:00:52.142-0700][gc,phases    ] GC(8)   Other: 0.1ms
[2020-04-14T20:00:52.142-0700][gc,heap      ] GC(8) Eden regions: 35->0(86)
[2020-04-14T20:00:52.142-0700][gc,heap      ] GC(8) Survivor regions: 1->1(5)
[2020-04-14T20:00:52.142-0700][gc,heap      ] GC(8) Old regions: 6->6
[2020-04-14T20:00:52.142-0700][gc,heap      ] GC(8) Humongous regions: 1->1
[2020-04-14T20:00:52.142-0700][gc,metaspace ] GC(8) Metaspace: 6830K->6830K(1056768K)
[2020-04-14T20:00:52.142-0700][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 41M->6M(512M) 2.222ms
[2020-04-14T20:00:52.142-0700][gc,cpu       ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[2020-04-14T20:07:03.030-0700][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T20:07:03.030-0700][gc,task      ] GC(9) Using 4 workers of 4 for evacuation
[2020-04-14T20:07:03.035-0700][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T20:07:03.035-0700][gc,phases    ] GC(9)   Evacuate Collection Set: 3.9ms
[2020-04-14T20:07:03.035-0700][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.3ms
[2020-04-14T20:07:03.035-0700][gc,phases    ] GC(9)   Other: 0.2ms
[2020-04-14T20:07:03.035-0700][gc,heap      ] GC(9) Eden regions: 86->0(181)
[2020-04-14T20:07:03.035-0700][gc,heap      ] GC(9) Survivor regions: 1->1(11)
[2020-04-14T20:07:03.035-0700][gc,heap      ] GC(9) Old regions: 6->6
[2020-04-14T20:07:03.035-0700][gc,heap      ] GC(9) Humongous regions: 1->1
[2020-04-14T20:07:03.035-0700][gc,metaspace ] GC(9) Metaspace: 7702K->7702K(1056768K)
[2020-04-14T20:07:03.035-0700][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 92M->6M(512M) 4.511ms
[2020-04-14T20:07:03.035-0700][gc,cpu       ] GC(9) User=0.00s Sys=0.00s Real=0.00s
[2020-04-14T21:14:27.283-0700][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T21:14:27.283-0700][gc,task      ] GC(10) Using 4 workers of 4 for evacuation
[2020-04-14T21:14:27.287-0700][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T21:14:27.287-0700][gc,phases    ] GC(10)   Evacuate Collection Set: 3.5ms
[2020-04-14T21:14:27.287-0700][gc,phases    ] GC(10)   Post Evacuate Collection Set: 1.0ms
[2020-04-14T21:14:27.288-0700][gc,phases    ] GC(10)   Other: 0.4ms
[2020-04-14T21:14:27.288-0700][gc,heap      ] GC(10) Eden regions: 181->0(187)
[2020-04-14T21:14:27.288-0700][gc,heap      ] GC(10) Survivor regions: 1->1(23)
[2020-04-14T21:14:27.288-0700][gc,heap      ] GC(10) Old regions: 6->6
[2020-04-14T21:14:27.288-0700][gc,heap      ] GC(10) Humongous regions: 1->1
[2020-04-14T21:14:27.288-0700][gc,metaspace ] GC(10) Metaspace: 7778K->7778K(1056768K)
[2020-04-14T21:14:27.288-0700][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 187M->7M(512M) 5.211ms
[2020-04-14T21:14:27.288-0700][gc,cpu       ] GC(10) User=0.02s Sys=0.00s Real=0.00s
[2020-04-14T22:24:38.187-0700][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T22:24:38.187-0700][gc,task      ] GC(11) Using 4 workers of 4 for evacuation
[2020-04-14T22:24:38.192-0700][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T22:24:38.192-0700][gc,phases    ] GC(11)   Evacuate Collection Set: 3.6ms
[2020-04-14T22:24:38.192-0700][gc,phases    ] GC(11)   Post Evacuate Collection Set: 1.2ms
[2020-04-14T22:24:38.192-0700][gc,phases    ] GC(11)   Other: 0.5ms
[2020-04-14T22:24:38.192-0700][gc,heap      ] GC(11) Eden regions: 187->0(192)
[2020-04-14T22:24:38.192-0700][gc,heap      ] GC(11) Survivor regions: 1->1(24)
[2020-04-14T22:24:38.192-0700][gc,heap      ] GC(11) Old regions: 6->6
